epoch,train_loss,train_acc,val_loss,val_acc
1,1.154707,0.432892,1.248369,0.727273
2,0.667086,0.824197,1.206528,0.795455
3,0.499435,0.856333,0.780992,0.878788
4,0.389581,0.890359,0.661834,0.856061
5,0.393202,0.909263,0.609420,0.886364
6,0.256484,0.933837,0.647101,0.750000
7,0.224666,0.930057,0.489118,0.893939
8,0.171686,0.960302,0.469367,0.909091
9,0.163384,0.977316,0.568065,0.893939
10,0.116585,0.962193,0.538447,0.901515
11,0.102073,0.975425,0.543772,0.916667
12,0.071085,0.982987,0.555744,0.901515
13,0.057163,0.990548,0.472236,0.924242
14,0.055649,0.984877,0.440480,0.924242
15,0.057973,0.996219,0.536558,0.893939
16,0.067329,0.969754,0.634982,0.893939
17,0.057952,0.988658,0.708935,0.901515
18,0.050985,0.975425,0.714649,0.909091
19,0.039398,0.992439,0.640309,0.916667
20,0.049359,0.992439,0.598843,0.916667
21,0.071488,0.964083,0.647667,0.878788
22,0.065607,0.977316,0.790832,0.833333
23,0.075058,0.986767,0.891562,0.878788
24,0.066816,0.988658,0.908200,0.893939
25,0.091637,0.986767,0.871250,0.871212
26,0.124633,0.990548,0.680125,0.893939
27,0.060635,0.986767,0.632749,0.901515
28,0.021344,0.996219,0.674651,0.901515
29,0.023039,0.994329,0.628737,0.909091
30,0.015473,0.996219,0.666080,0.909091
31,0.011380,1.000000,0.610659,0.916667
32,0.011390,0.998110,0.595294,0.924242
33,0.008694,1.000000,0.589654,0.916667
34,0.014126,0.994329,0.701274,0.886364
35,0.012645,0.998110,0.644282,0.916667
36,0.008597,1.000000,0.655802,0.909091
37,0.006292,1.000000,0.625889,0.909091
38,0.005493,1.000000,0.635949,0.901515
39,0.004500,1.000000,0.697342,0.909091
40,0.005189,1.000000,0.736713,0.916667
41,0.004313,1.000000,0.690620,0.924242
42,0.004517,1.000000,0.674418,0.909091
43,0.005175,1.000000,0.647091,0.909091
44,0.004718,1.000000,0.838486,0.901515
45,0.005730,1.000000,0.741021,0.901515
46,0.004097,1.000000,0.601606,0.924242
47,0.005783,1.000000,0.690686,0.909091
48,0.008133,0.998110,0.769153,0.893939
49,0.008025,0.998110,0.786703,0.863636
50,0.005515,1.000000,0.735452,0.909091
