epoch,train_loss,train_acc,val_loss,val_acc
1,1.233861,0.497164,2.129221,0.727273
2,0.801642,0.735350,1.539075,0.765152
3,0.558106,0.786389,0.913493,0.840909
4,0.465384,0.841210,0.759812,0.856061
5,0.397592,0.867675,0.643184,0.871212
6,0.360133,0.905482,0.587605,0.878788
7,0.263966,0.913043,0.566814,0.871212
8,0.221638,0.928166,0.550334,0.886364
9,0.216157,0.926276,0.563772,0.878788
10,0.202999,0.945180,0.547708,0.878788
11,0.175697,0.926276,0.613044,0.893939
12,0.161774,0.947070,0.662669,0.901515
13,0.150436,0.958412,0.675776,0.871212
14,0.139476,0.943289,0.578691,0.901515
15,0.120036,0.971645,0.655167,0.803030
16,0.108913,0.960302,0.428930,0.901515
17,0.084214,0.981096,0.564069,0.893939
18,0.089419,0.981096,0.518859,0.886364
19,0.072874,0.982987,0.571651,0.863636
20,0.059290,0.975425,0.779226,0.893939
21,0.052036,0.986767,0.658878,0.909091
22,0.041616,0.996219,0.557111,0.878788
23,0.036678,0.996219,0.584975,0.893939
24,0.030022,0.994329,0.713264,0.893939
25,0.049623,0.986767,1.207111,0.856061
26,0.035542,0.988658,0.684655,0.909091
27,0.029735,0.994329,0.741319,0.893939
28,0.028586,0.994329,0.819590,0.893939
29,0.020501,1.000000,0.802273,0.901515
30,0.017810,1.000000,0.752509,0.909091
31,0.015841,1.000000,0.818260,0.909091
32,0.015672,0.992439,0.867690,0.901515
33,0.014002,1.000000,0.885882,0.901515
34,0.015965,0.996219,0.820617,0.901515
35,0.011064,1.000000,0.849080,0.901515
36,0.013844,0.998110,0.838890,0.909091
37,0.014809,0.998110,0.752076,0.901515
38,0.065401,0.971645,1.388840,0.878788
39,0.058231,0.990548,0.863742,0.750000
40,0.036115,0.992439,0.826828,0.833333
41,0.023443,0.990548,0.991436,0.878788
42,0.020969,0.998110,0.898517,0.893939
43,0.028480,0.994329,1.003226,0.893939
44,0.039952,0.977316,1.164773,0.856061
45,0.055632,0.973535,0.897237,0.909091
46,0.061152,0.967864,0.910234,0.901515
47,0.046127,0.975425,0.884396,0.893939
48,0.016156,0.998110,1.519016,0.863636
49,0.016778,0.998110,0.836887,0.886364
50,0.017454,0.998110,0.784486,0.833333
